# Capture histories exported from 'ms.ch' 
# Mon Apr 05 7:09:37 AM 2021 
# Session ID Occasion Detector Sex 
EShores_2016 Leopard_African_Male_5_30 1 EShores_2016_Station20 2
EShores_2016 Leopard_African_Male_5_30 1 EShores_2016_Station30 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station19 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station19 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station20 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station22 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station22 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station24 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station24 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station24 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station26 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station27 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station27 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station28 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station28 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station28 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station30 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station32 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station32 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station32 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station33 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station33 2
EShores_2016 Leopard_African_Male_5_34 1 EShores_2016_Station33 2
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station10 2
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station10 2
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station10 2
